id,Airway Bill Number,Flight Number,Carrier Name,Departure Airport,Arrival Airport,Estimated Departure Time,Estimated Arrival Time,Shipment Type,Shipment Weight,Number of Packages,Shipment Number,Shipment Date,Ship-To Party,Shipping Method,Carrier,Shipment Value,Shipment Status,Tracking Number,Special Instructions,Bill-To Party,Payment Terms,Shipment Comments
1,ABN10001,FL1001,CarrierA,LAX,JFK,2023-10-01 10:00,2023-10-01 15:00,Perishable,500,10,SN10001,2023-10-01,PartyA,Express,CarrierA,1500,In Transit,TN1001,Fragile,PartyB,Net30,Handle with care.
2,ABN10002,FL1002,CarrierB,LAX,ORD,2023-10-01 11:00,2023-10-01 14:00,Electronics,200,5,SN10002,2023-10-01,PartyC,Standard,CarrierB,2000,Shipped,TN1002,None,PartyD,Net15,Insure the contents.
3,ABN10003,FL1003,CarrierA,LAX,ATL,2023-10-01 12:00,2023-10-01 17:00,Documents,20,2,SN10003,2023-10-01,PartyE,Express,CarrierA,100,Delivered,TN1003,Important,PartyF,Net45,None.
4,ABN10004,FL1004,CarrierC,LAX,DFW,2023-10-01 13:00,2023-10-01 16:00,Clothing,700,14,SN10004,2023-10-01,PartyG,Standard,CarrierC,1200,Pending,TN1004,None,PartyH,Net60,Keep dry.
5,ABN10005,FL1005,CarrierD,LAX,MIA,2023-10-01 14:00,2023-10-01 20:00,Furniture,1000,8,SN10005,2023-10-01,PartyI,Standard,CarrierD,3000,Shipped,TN1005,Heavy,PartyJ,Net30,None.
6,ABN10006,FL1006,CarrierE,LAX,SFO,2023-10-01 15:00,2023-10-01 16:30,Electronics,300,6,SN10006,2023-10-01,PartyK,Express,CarrierE,2200,In Transit,TN1006,None,PartyL,Net15,Insure the contents.
7,ABN10007,FL1007,CarrierF,LAX,SEA,2023-10-01 16:00,2023-10-01 19:00,Clothing,750,15,SN10007,2023-10-01,PartyM,Standard,CarrierF,1700,Delivered,TN1007,None,PartyN,Net45,None.
8,ABN10008,FL1008,CarrierG,LAX,DEN,2023-10-01 17:00,2023-10-01 19:30,Documents,25,3,SN10008,2023-10-01,PartyO,Express,CarrierG,130,Shipped,TN1008,Important,PartyP,Net60,Handle with care.
9,ABN10009,FL1009,CarrierH,LAX,PHX,2023-10-01 18:00,2023-10-01 20:00,Furniture,1100,9,SN10009,2023-10-01,PartyQ,Standard,CarrierH,3200,In Transit,TN1009,Heavy,PartyR,Net30,Keep dry.
10,ABN10010,FL1010,CarrierI,LAX,SAN,2023-10-01 19:00,2023-10-01 20:30,Perishable,550,11,SN10010,2023-10-01,PartyS,Express,CarrierI,1600,Pending,TN1010,Fragile,PartyT,Net15,Handle with care.